,date,close,open,low,high,volume
28,2020-09-22 11-AM,10484.17583806,10458.83466357,10452.14513283,10486.88697813,53934.51478203
29,2020-09-22 11-AM,10447.00228958,10486.88697814,10442.86726618,10500.0,215749.33370294
30,2020-09-22 12-PM,10448.59586485,10447.43698534,10421.30553272,10457.84139997,98794.84685462
31,2020-09-22 12-PM,10484.8655148,10453.51474722,10448.6276769,10495.52121735,182505.6512696
32,2020-09-22 01-PM,10509.08739999,10488.70792577,10475.99774123,10517.23630758,135263.83525423
33,2020-09-22 01-PM,10470.92480305,10506.47342616,10450.00000001,10508.10446453,228883.22919364
34,2020-09-22 02-PM,10501.19506909,10472.26294111,10469.01098736,10504.76106064,358558.13292682
35,2020-09-22 02-PM,10440.69644305,10503.82056556,10439.03301944,10504.76106063,190146.57655507
36,2020-09-22 03-PM,10460.95396939,10437.61339164,10424.34848539,10475.22913128,411186.3168412
37,2020-09-22 03-PM,10456.16079333,10462.0,10439.32411624,10464.89999998,314110.36125612
38,2020-09-22 04-PM,10482.41113929,10453.22547963,10453.22547963,10492.66191212,420067.50116697
39,2020-09-22 04-PM,10460.92848342,10483.2455831,10455.0,10483.24558313,309835.98867488
40,2020-09-22 05-PM,10471.18738564,10456.3117514,10450.52253155,10478.40445822,172913.59439371
41,2020-09-22 05-PM,10489.2442837,10471.18738564,10450.0,10492.57845021,313025.92346289
42,2020-09-22 06-PM,10503.31791226,10490.87535268,10488.09650545,10504.73392957,265802.18510656
43,2020-09-22 06-PM,10491.43072865,10504.1070099,10488.00000001,10504.73392957,123325.13645808
44,2020-09-22 07-PM,10481.08897215,10494.68004083,10475.00000007,10495.18536247,63457.88862257
45,2020-09-22 07-PM,10493.55596572,10481.08897215,10470.85956719,10496.49674181,169807.21007307
46,2020-09-22 08-PM,10489.46413969,10496.89987438,10482.87554228,10496.89987438,112431.90397647
47,2020-09-22 08-PM,10514.5875477,10489.92874117,10489.92874116,10516.4928999,99862.25889997
48,2020-09-22 09-PM,10529.89346765,10514.58754769,10456.0,10571.01281609,433274.51567709
49,2020-09-22 09-PM,10544.76206865,10527.1982439,10527.1982439,10571.12372352,66614.58599386
50,2020-09-22 10-PM,10510.72021203,10545.80462,10503.59200004,10553.04586702,107353.65693707
51,2020-09-22 10-PM,10511.5640118,10508.78962933,10496.85644685,10523.0818861,129387.37865416
52,2020-09-22 11-PM,10511.80508231,10501.88239417,10500.00000002,10524.56577364,44209.29226731
53,2020-09-22 11-PM,10528.47597413,10512.40067276,10496.24862121,10535.3279663,186640.28241459
54,2020-09-23 12-AM,10532.61248187,10529.59069344,10515.5635,10533.69779467,154124.05386863
55,2020-09-23 12-AM,10513.71474769,10526.13097524,10503.29936095,10531.74417561,81305.91381526
56,2020-09-23 01-AM,10522.40782165,10510.87757083,10507.32541477,10526.73260753,314412.45239382
57,2020-09-23 01-AM,10517.90885557,10524.15548794,10508.0,10525.07398904,74520.3783934
58,2020-09-23 02-AM,10508.62535575,10517.90885556,10508.10000007,10528.41211613,44957.01931169
59,2020-09-23 02-AM,10516.45031649,10508.62535575,10506.52531412,10518.14580191,53120.18577795
60,2020-09-23 03-AM,10492.9566869,10514.93975364,10487.66389299,10514.94449539,58827.03785504
61,2020-09-23 03-AM,10476.51214201,10492.9566869,10473.98517725,10503.71702319,175077.18624153
62,2020-09-23 04-AM,10457.89464458,10476.51214202,10457.89464458,10485.49063913,171741.96958496
63,2020-09-23 04-AM,10468.66008044,10457.16635743,10447.62349999,10479.33283471,402683.03328627
64,2020-09-23 05-AM,10486.37570411,10468.66008044,10451.97622692,10486.37570415,61909.44757052
65,2020-09-23 05-AM,10472.22792306,10486.3757041,10469.03389179,10491.35902124,157533.07635075
66,2020-09-23 06-AM,10427.80217444,10470.89257562,10405.28774828,10475.2211089,257139.52651074
67,2020-09-23 06-AM,10436.55786611,10427.80217444,10419.49378933,10445.94255986,94003.97494982
68,2020-09-23 07-AM,10386.8933329,10436.55786612,10382.11155715,10439.69054487,211109.92582227
69,2020-09-23 07-AM,10425.20716215,10388.18681767,10388.18681767,10433.5678141,84093.78415754
70,2020-09-23 08-AM,10445.36644353,10426.0097058,10406.91039558,10455.52538459,27762.10168629
71,2020-09-23 08-AM,10446.70932972,10447.57040133,10432.8509242,10456.60820395,121216.32209575
72,2020-09-23 09-AM,10449.45246986,10446.70932971,10441.01502314,10475.67013068,107831.41857468
73,2020-09-23 09-AM,10479.19749336,10449.97494292,10444.87580727,10491.66666665,169886.20501679
74,2020-09-23 10-AM,10467.20060608,10481.18227904,10462.20688361,10483.55576131,43598.68432753
75,2020-09-23 10-AM,10486.40279374,10467.20060608,10462.00000001,10486.40279374,50811.22439607
76,2020-09-23 11-AM,10472.14372578,10484.5528169,10472.14372577,10490.96757713,37490.24382386
77,2020-09-23 11-AM,10472.80000001,10472.14372578,10470.6263973,10486.84574372,37643.84140718
78,2020-09-23 12-PM,10499.53411482,10471.03635925,10464.5,10499.53411482,141268.87774028
79,2020-09-23 12-PM,10505.54763767,10499.99999999,10492.80442175,10517.21154883,85281.28015417
80,2020-09-23 01-PM,10509.61285128,10505.54763767,10497.07831363,10514.97935135,44942.40208012
81,2020-09-23 01-PM,10494.31842755,10509.61285129,10494.31842755,10533.49610155,268444.36454583
82,2020-09-23 02-PM,10477.21110502,10494.21404604,10463.88237724,10500.7255248,133843.29982728
83,2020-09-23 02-PM,10467.82256761,10476.68727679,10462.00000001,10488.0,248876.95137395
84,2020-09-23 03-PM,10462.00000001,10467.82256761,10462.00000001,10485.16259978,113876.33553114
85,2020-09-23 03-PM,10452.11123745,10462.0,10449.32928784,10464.68716624,73462.75524174
86,2020-09-23 04-PM,10459.99042863,10450.40145889,10447.43600869,10464.92323501,133415.21063828
87,2020-09-23 04-PM,10484.51744387,10459.99042863,10457.26874707,10495.44242704,82222.18395357
88,2020-09-23 05-PM,10477.21793807,10484.51744386,10475.64640377,10485.0,59250.694389
89,2020-09-23 05-PM,10456.72823878,10477.21793807,10456.72823875,10483.44082244,37547.16527987
90,2020-09-23 06-PM,10434.58336856,10456.72823876,10422.96306523,10459.98609585,257796.74035405
91,2020-09-23 06-PM,10409.28011621,10435.85532704,10409.28011621,10440.72896453,103485.85184965
92,2020-09-23 07-PM,10322.62302276,10409.62376362,10256.96073847,10412.75873336,909334.148206
93,2020-09-23 07-PM,10293.77799558,10323.13922276,10281.51407571,10323.13922276,213200.32239311
94,2020-09-23 08-PM,10295.30368463,10291.15153294,10271.69860228,10317.92372258,176373.70440994
95,2020-09-23 08-PM,10226.77357811,10295.30368463,10140.70857458,10300.78524684,952536.99890506
96,2020-09-23 09-PM,10228.88000724,10227.64130721,10220.0,10280.65032747,203384.23586062
97,2020-09-23 09-PM,10254.55783188,10229.15824913,10204.19608093,10272.33626095,107324.29800597
98,2020-09-23 10-PM,10272.55472807,10253.84642732,10248.79366533,10295.87568139,97337.57636997
99,2020-09-23 10-PM,10269.01052991,10272.55472807,10241.56315622,10276.58158876,54126.90511594
100,2020-09-23 11-PM,10213.09167312,10270.1171941,10213.09167312,10270.1171941,63370.10768121
101,2020-09-23 11-PM,10236.29333458,10213.09167313,10210.25335463,10256.20530579,122543.97831606
102,2020-09-24 12-AM,10272.83722682,10238.52449418,10200.0,10280.14724817,101293.75421915
